Date Added,Business Name,Niche,City,Channel,WhatsApp/Phone,Website/Link,Rating,Reviews,Status,Last Contact,Next Follow-Up,Est. Value (₹/mo),Notes
2026-06-28,The Esthetic Clinics,Clinic/Aesthetic,Mumbai,WhatsApp,+917028065165,https://www.theestheticclinics.com/,4.3,172,New,,2026-06-29,20000,Skin care clinic. High footfall — good WhatsApp booking fit.
2026-06-28,Dr. Niketa Sonavane,Clinic/Derma,Mumbai,WhatsApp,+919930993600,https://www.dermatologydiaries.com/,4.7,413,New,,2026-06-29,20000,Dermatologist. 400+ reviews = busy practice.
2026-06-28,Skuccii Supercliniq,Clinic/Aesthetic,Mumbai,WhatsApp,+917240013002,https://skuccii.com/,4.9,354,New,,2026-06-29,20000,Premium skin clinic. Strong brand — pitch lead capture.
2026-06-28,Skinwood Luxury Aesthetics,Clinic/Derma,Mumbai,WhatsApp,+917045704519,http://www.skinwood.com/,4.9,331,New,,2026-06-29,20000,Luxury positioning — good budget.
2026-06-28,Cosmos Aesthetic Clinic,Clinic/Aesthetic,Hyderabad,WhatsApp,+919177112111,http://www.cosmosaesthetics.in/,5.0,101,New,,2026-06-29,20000,5.0 rating. Likely responsive owner.
2026-06-28,Aesthetic Aura Skin & Hair Clinic,Clinic/Derma,Hyderabad,WhatsApp,+914042700050,https://aestheticauraclinics.com/,4.7,98,New,,2026-06-29,20000,Landline — try call + website contact.
2026-06-28,Evoluer Aesthetics Banjara Hills,Clinic/Aesthetic,Hyderabad,WhatsApp,+919059219194,https://evoluercare.com/,4.8,207,New,,2026-06-29,20000,Banjara Hills (premium area).
2026-06-28,Essthetiks Skin and Hair Care,Clinic/Derma,Hyderabad,WhatsApp,+917020045540,https://www.essthetiks.com/,4.9,168,New,,2026-06-29,20000,High rating + reviews.
2026-06-28,iLUMNA+ Dental (Dr. Inchara),Clinic/Dental,Bengaluru,WhatsApp,+917411411069,https://ilumnadental.com/,4.8,324,New,,2026-06-29,20000,Implants/Invisalign — high-value patients.
2026-06-28,Apollo Dental Hebbal,Clinic/Dental,Bengaluru,WhatsApp,+918884777950,https://apollodental.in/bengaluru/our-clinics,4.9,377,New,,2026-06-29,20000,Chain — may need decision-maker.
